 1.00000000e+00 2.87222000e-04 2.28850000e-04 1.59600000e-05 2.54490000e-05
 1.00000000e+00 2.86721000e-04 2.28695000e-04 1.42160000e-05 1.81330000e-05
 1.00000000e+00 3.29102000e-04 2.28270000e-04 1.43070000e-05 1.83340000e-05
 1.00000000e+00 3.06437000e-04 2.26607000e-04 1.43970000e-05 1.67200000e-05
 1.00000000e+00 2.86832000e-04 2.16569000e-04 1.43160000e-05 1.66120000e-05
 1.00000000e+00 2.86731000e-04 2.16580000e-04 1.43560000e-05 1.66010000e-05
 1.00000000e+00 2.86923000e-04 2.16710000e-04 1.43080000e-05 1.65510000e-05
 1.00000000e+00 2.86812000e-04 2.16940000e-04 1.44270000e-05 1.66530000e-05
 1.00000000e+00 2.86812000e-04 2.15978000e-04 1.42870000e-05 2.61700000e-05
 1.00000000e+00 2.94236000e-04 2.17000000e-04 1.43070000e-05 2.08500000e-05
 2.00000000e+00 5.73572000e-04 4.33098000e-04 3.19400000e-05 3.80210000e-05
 2.00000000e+00 5.81907000e-04 4.34031000e-04 3.01570000e-05 3.53970000e-05
 2.00000000e+00 6.17096000e-04 4.49931000e-04 3.04480000e-05 3.43640000e-05
 2.00000000e+00 6.02918000e-04 4.33480000e-04 3.03670000e-05 3.49450000e-05
 2.00000000e+00 6.04752000e-04 4.33570000e-04 3.00860000e-05 3.51260000e-05
 2.00000000e+00 6.04702000e-04 4.33109000e-04 3.00770000e-05 3.49270000e-05
 2.00000000e+00 6.04924000e-04 4.33799000e-04 3.03060000e-05 3.51660000e-05
 2.00000000e+00 6.20622000e-04 4.33911000e-04 3.00680000e-05 3.96150000e-05
 2.00000000e+00 6.04822000e-04 4.33731000e-04 3.01970000e-05 4.23390000e-05
 2.00000000e+00 6.29868000e-04 4.33470000e-04 3.03280000e-05 4.05570000e-05
 4.00000000e+00 1.47522000e-03 8.67551000e-04 6.61040000e-05 7.91500000e-05
 4.00000000e+00 1.77584000e-03 8.66910000e-04 6.63870000e-05 7.79970000e-05
 4.00000000e+00 7.26200000e-04 9.38355000e-04 6.53130000e-05 7.74250000e-05
 4.00000000e+00 4.93702000e-04 9.62289000e-04 6.55350000e-05 7.79280000e-05
 4.00000000e+00 4.85716000e-04 8.66769000e-04 6.53750000e-05 8.86280000e-05
 4.00000000e+00 4.84204000e-04 4.84476000e-04 6.56940000e-05 7.84890000e-05
 4.00000000e+00 5.48586000e-04 3.66070000e-04 6.59750000e-05 7.77060000e-05
 4.00000000e+00 4.84685000e-04 3.65831000e-04 6.59540000e-05 7.76060000e-05
 4.00000000e+00 4.84473000e-04 3.65892000e-04 7.90710000e-05 7.76280000e-05
 4.00000000e+00 4.84134000e-04 3.65921000e-04 6.86410000e-05 1.39273000e-04
 8.00000000e+00 1.01336000e-03 7.37547000e-04 1.38321000e-04 1.76183000e-04
 8.00000000e+00 1.04280000e-03 7.33286000e-04 1.35596000e-04 1.69050000e-04
 8.00000000e+00 1.00920000e-03 7.31973000e-04 1.36007000e-04 1.61033000e-04
 8.00000000e+00 9.91662000e-04 7.32335000e-04 1.36027000e-04 1.61115000e-04
 8.00000000e+00 2.16494000e-03 7.32404000e-04 1.35707000e-04 1.62067000e-04
 8.00000000e+00 3.27181000e-03 7.35331000e-04 1.35706000e-04 1.69880000e-04
 8.00000000e+00 3.34556000e-03 7.33536000e-04 1.35727000e-04 1.61906000e-04
 8.00000000e+00 3.16940000e-03 7.33497000e-04 1.35777000e-04 1.71405000e-04
 8.00000000e+00 3.66533000e-03 7.32265000e-04 1.36017000e-04 1.60704000e-04
 8.00000000e+00 3.62818000e-03 7.50369000e-04 1.37049000e-04 1.61475000e-04
 1.60000000e+01 3.03891000e-03 1.53393000e-03 3.09247000e-04 4.13833000e-04
 1.60000000e+01 2.16133000e-03 1.46913000e-03 2.96331000e-04 3.34711000e-04
 1.60000000e+01 2.17411000e-03 1.48338000e-03 2.84528000e-04 3.65050000e-04
 1.60000000e+01 2.82523000e-03 1.46642000e-03 2.83006000e-04 4.89075000e-04
 1.60000000e+01 2.57967000e-03 1.47374000e-03 2.80701000e-04 4.12268000e-04
 1.60000000e+01 7.85349000e-03 1.46640000e-03 2.81822000e-04 3.41135000e-04
 1.60000000e+01 7.38734000e-03 1.46593000e-03 3.25128000e-04 4.65950000e-04
 1.60000000e+01 7.13111000e-03 1.48513000e-03 3.85209000e-04 3.40083000e-04
 1.60000000e+01 7.77256000e-03 1.46660000e-03 3.45215000e-04 3.28382000e-04
 1.60000000e+01 7.12303000e-03 1.47020000e-03 2.85240000e-04 2.93775000e-04
 3.20000000e+01 5.23706000e-03 3.59852000e-03 1.37088000e-03 1.68118000e-03
 3.20000000e+01 6.96358000e-03 3.12920000e-03 1.54065000e-03 1.10466000e-03
 3.20000000e+01 1.14329000e-02 3.59651000e-03 1.75697000e-03 2.10524000e-03
 3.20000000e+01 1.00151000e-02 3.32865000e-03 1.37713000e-03 1.38613000e-03
 3.20000000e+01 1.23017000e-02 3.05140000e-03 1.24333000e-03 1.61286000e-03
 3.20000000e+01 1.19770000e-02 3.02046000e-03 1.10374000e-03 1.59682000e-03
 3.20000000e+01 8.96152000e-03 3.63785000e-03 1.25701000e-03 2.18755000e-03
 3.20000000e+01 9.94064000e-03 3.04552000e-03 1.46384000e-03 2.61240000e-03
 3.20000000e+01 4.38039000e-03 3.00538000e-03 1.30929000e-03 1.37946000e-03
 3.20000000e+01 1.12611000e-02 2.98432000e-03 1.22162000e-03 1.78140000e-03
